Marker Name,Description,In,Out,Duration,Marker Type
卡点 366,,00:03:08:16,00:03:08:16,00:00:00:00,Comment
卡点 367,,00:03:09:00,00:03:09:00,00:00:00:00,Comment
卡点 368,,00:03:09:14,00:03:09:14,00:00:00:00,Comment
卡点 369,,00:03:10:02,00:03:10:02,00:00:00:00,Comment
卡点 370,,00:03:10:11,00:03:10:11,00:00:00:00,Comment
卡点 371,,00:03:10:25,00:03:10:25,00:00:00:00,Comment
卡点 372,,00:03:11:09,00:03:11:09,00:00:00:00,Comment
卡点 373,,00:03:11:22,00:03:11:22,00:00:00:00,Comment
卡点 374,,00:03:11:28,00:03:11:28,00:00:00:00,Comment
卡点 375,,00:03:12:06,00:03:12:06,00:00:00:00,Comment
卡点 376,,00:03:12:20,00:03:12:20,00:00:00:00,Comment
卡点 377,,00:03:13:04,00:03:13:04,00:00:00:00,Comment
卡点 378,,00:03:13:10,00:03:13:10,00:00:00:00,Comment
卡点 379,,00:03:14:01,00:03:14:01,00:00:00:00,Comment
卡点 380,,00:03:15:25,00:03:15:25,00:00:00:00,Comment
卡点 381,,00:03:16:25,00:03:16:25,00:00:00:00,Comment
卡点 382,,00:03:17:22,00:03:17:22,00:00:00:00,Comment
卡点 383,,00:03:18:18,00:03:18:18,00:00:00:00,Comment
卡点 384,,00:03:19:02,00:03:19:02,00:00:00:00,Comment
卡点 385,,00:03:20:03,00:03:20:03,00:00:00:00,Comment
卡点 386,,00:03:20:15,00:03:20:15,00:00:00:00,Comment
卡点 387,,00:03:21:13,00:03:21:13,00:00:00:00,Comment
卡点 388,,00:03:22:11,00:03:22:11,00:00:00:00,Comment
卡点 389,,00:03:22:26,00:03:22:26,00:00:00:00,Comment
卡点 390,,00:03:23:01,00:03:23:01,00:00:00:00,Comment
卡点 391,,00:03:23:09,00:03:23:09,00:00:00:00,Comment
卡点 392,,00:03:23:22,00:03:23:22,00:00:00:00,Comment
卡点 393,,00:03:24:04,00:03:24:04,00:00:00:00,Comment
卡点 394,,00:03:26:11,00:03:26:11,00:00:00:00,Comment
卡点 395,,00:03:28:02,00:03:28:02,00:00:00:00,Comment
卡点 396,,00:03:28:18,00:03:28:18,00:00:00:00,Comment
卡点 397,,00:03:29:00,00:03:29:00,00:00:00:00,Comment
卡点 398,,00:03:31:08,00:03:31:08,00:00:00:00,Comment
卡点 399,,00:03:31:22,00:03:31:22,00:00:00:00,Comment
卡点 400,,00:03:32:06,00:03:32:06,00:00:00:00,Comment
卡点 401,,00:03:32:20,00:03:32:20,00:00:00:00,Comment
卡点 402,,00:03:34:02,00:03:34:02,00:00:00:00,Comment
卡点 403,,00:03:35:00,00:03:35:00,00:00:00:00,Comment
卡点 404,,00:03:35:13,00:03:35:13,00:00:00:00,Comment
卡点 405,,00:03:35:27,00:03:35:27,00:00:00:00,Comment
卡点 406,,00:03:36:11,00:03:36:11,00:00:00:00,Comment
卡点 407,,00:03:36:25,00:03:36:25,00:00:00:00,Comment
卡点 408,,00:03:37:09,00:03:37:09,00:00:00:00,Comment
卡点 409,,00:03:37:23,00:03:37:23,00:00:00:00,Comment
卡点 410,,00:03:38:06,00:03:38:06,00:00:00:00,Comment
卡点 411,,00:03:38:20,00:03:38:20,00:00:00:00,Comment
卡点 412,,00:03:39:04,00:03:39:04,00:00:00:00,Comment
卡点 413,,00:03:39:18,00:03:39:18,00:00:00:00,Comment
卡点 414,,00:03:40:02,00:03:40:02,00:00:00:00,Comment
卡点 415,,00:03:40:16,00:03:40:16,00:00:00:00,Comment
卡点 416,,00:03:42:11,00:03:42:11,00:00:00:00,Comment
卡点 417,,00:03:43:10,00:03:43:10,00:00:00:00,Comment
卡点 418,,00:03:44:20,00:03:44:20,00:00:00:00,Comment
卡点 419,,00:03:45:16,00:03:45:16,00:00:00:00,Comment
卡点 420,,00:03:47:22,00:03:47:22,00:00:00:00,Comment
